ID,HJD,RVel1,e_RVel1,RVel2,e_RVel2,RVel3,e_RVel3,RVel4,e_RVel4
2M13481613-0510559,58924.9266624,35.25,0.7,-12.1,2.7,,,,
2M13481613-0510559,58918.9091704,32.8,0.72,-10.5,2.6,,,,
2M13481613-0510559,58895.0041518,24.93,0.86,-5.1,3.2,,,,
2M13481613-0510559,58887.0123833,22.3,0.79,-6.8,2.9,,,,
2M13481613-0510559,58653.6457099,7.91,0.73,,,,,,
2M13481613-0510559,58649.6476302,12.29,0.73,,,,,,
2M13481613-0510559,58624.7700961,30.2,0.72,-6.5,2.7,,,,
2M13481613-0510559,58621.7472561,31.98,0.73,-8.5,2.4,,,,
2M13481613-0510559,58617.7732133,34.95,0.71,-9.7,2.8,,,,
2M13481613-0510559,58588.867762,34.35,1.0,-10.8,8.6,,,,
